Antibody,HGNC_SYMBOL,Clone,Oligo_ID,Panel,Vendor,Cat_Number,RRID
Trop-2,TACSTD2,162-46,AHS0235,197 ab,BD Biosciences,940370,AB_2876239
B7-H4,VTCN1,MIH43,AHS0108,97 ab,BD Biosciences,940100,AB_2875991
CD10,MME,HI10a,AHS0051,97 ab,BD Biosciences,940045,AB_2875936
CD103,ITGAE,Ber-ACT8,AHS0001,97 ab,BD Biosciences,940067,AB_2875958
CD117,KIT,YB5.B8,AHS0064,97 ab,BD Biosciences,940051,AB_2875942
CD11a,ITGAL,HI111,AHS0081,97 ab,BD Biosciences,940077,AB_2875968
CD11b,ITGAM,M1/70,AHS0005,97 ab,BD Biosciences,940008,AB_2875899
CD11c,ITGAX,B-ly6,AHS0056,97 ab,BD Biosciences,940024,AB_2875915
CD123,IL3RA,7G3,AHS0020,97 ab,BD Biosciences,940020,AB_2875911
CD124,IL4R,hIL4R-M57,AHS0098,97 ab,BD Biosciences,940092,AB_2875983
CD126,IL6R,M5,AHS0096,97 ab,BD Biosciences,940090,AB_2875981
CD127,IL7R,HIL-7R-M21,AHS0028,97 ab,BD Biosciences,940012,AB_2875903
CD13,ANPEP,WM15,AHS0050,97 ab,BD Biosciences,940044,AB_2875935
CD133,PROM,W6B3C1,AHS0103,97 ab,BD Biosciences,940095,AB_2875986
CD134,TNFRSF4,ACT35,AHS0013,97 ab,BD Biosciences,940060,AB_2875951
CD137,TNFRSF9,4B4-1,AHS0003,97 ab,BD Biosciences,940055,AB_2875946
CD14,CD14,MɸP9,AHS0037,97 ab,BD Biosciences,940005,AB_2875896
CD141,THBD,1A4,AHS0083,97 ab,BD Biosciences,940079,AB_2875970
CD152,CTLA4,BNI3,AHS0017,97 ab,BD Biosciences,940034,AB_2875925
CD154,CD40LG,TRAP1,AHS0077,97 ab,BD Biosciences,940053,AB_2875944
CD155,PVR,TX24,AHS0111,97 ab,BD Biosciences,940102,AB_2875993
CD16,FCGR3A,3G8,AHS0053,97 ab,BD Biosciences,940006,AB_2875897
CD163,CD163,GHI/61,AHS0062,97 ab,BD Biosciences,940058,AB_2875949
CD178,FASLG,NOK-1,AHS0095,97 ab,BD Biosciences,940089,AB_2875980
CD18,ITGB2,6.7,AHS0091,97 ab,BD Biosciences,940086,AB_2875977
CD183,CXCR3,1C6/CXCR3,AHS0031,97 ab,BD Biosciences,940030,AB_2875921
CD184,CXCR4,12G5,AHS0060,97 ab,BD Biosciences,940056,AB_2875947
CD185,CXCR5,RF8B2,AHS0039,97 ab,BD Biosciences,940042,AB_2875933
CD19,CD19,SJ25C1,AHS0030,97 ab,BD Biosciences,940004,AB_2875895
CD194,CCR4,1G1,AHS0038,97 ab,BD Biosciences,940047,AB_2875938
CD195,CCR5,2D7/CCR5,AHS0070,97 ab,BD Biosciences,940050,AB_2875941
CD196,CCR6,11A9,AHS0034,97 ab,BD Biosciences,940033,AB_2875924
CD197,CCR7,3D12,AHS0007,97 ab,BD Biosciences,940014,AB_2875905
CD1a,CD1A,HI149,AHS0067,97 ab,BD Biosciences,940063,AB_2875954
CD1c,CD1C,F10/21A3,AHS0088,97 ab,BD Biosciences,940083,AB_2875974
CD2,CD2,RPA-2.10,AHS0029,97 ab,BD Biosciences,940046,AB_2875937
CD20,MS4A1,2H7,AHS0008,97 ab,BD Biosciences,940016,AB_2875907
CD206,MRC1,19.2,AHS0072,97 ab,BD Biosciences,940068,AB_2875959
CD21,CR2,B-ly4,AHS0074,97 ab,BD Biosciences,940048,AB_2875939
CD223,LAG3,T47-530,AHS0018,97 ab,BD Biosciences,940080,AB_2875971
CD226,CD226,DX11,AHS0079,97 ab,BD Biosciences,940075,AB_2875966
CD235a_b,GYPA_GYPB,GA-R2 (HIR2),AHS0048,97 ab,BD Biosciences,940040,AB_2875931
CD24,CD24,ML5,AHS0042,97 ab,BD Biosciences,940028,AB_2875919
CD25,IL2RA,2A3,AHS0026,97 ab,BD Biosciences,940009,AB_2875900
CD26,DPP4,M-A261,AHS0109,97 ab,BD Biosciences,940101,AB_2875992
CD27,CD27,M-T271,AHS0025,97 ab,BD Biosciences,940018,AB_2875909
CD270,TNFRSF14,CW10,AHS0105,97 ab,BD Biosciences,940097,AB_2875988
CD272,BTLA,J168-540,AHS0052,97 ab,BD Biosciences,940105,AB_2875995
CD273,PDCD1LG2,MIH18,AHS0075,97 ab,BD Biosciences,940071,AB_2875962
CD274,CD274,MIH1,AHS0004,97 ab,BD Biosciences,940035,AB_2875926
CD275,ICOSLG,2D3/B7-H2,AHS0011,97 ab,BD Biosciences,940091,AB_2875982
CD278,ICOS,DX29,AHS0012,97 ab,BD Biosciences,940043,AB_2875934
CD279,PDCD1,EH12.1,AHS0014,97 ab,BD Biosciences,940015,AB_2875906
CD28,CD28,CD28.2,AHS0024,97 ab,BD Biosciences,940017,AB_2875908
CD29,ITGB1,MAR4,AHS0080,97 ab,BD Biosciences,940076,AB_2875967
CD3,CD3E,SK7,AHS0033,97 ab,BD Biosciences,940000,AB_2875891
CD30,TNFRSF8,BerH8,AHS0114,97 ab,BD Biosciences,940103,AB_2875994
CD314,KLRK1,1D11,AHS0065,97 ab,BD Biosciences,940061,AB_2875952
CD32,FCGR2A_B_C,FLI8.26,AHS0073,97 ab,BD Biosciences,940069,AB_2875960
CD326,EPCAM,EBA-1,AHS0089,97 ab,BD Biosciences,940084,AB_2875975
CD33,CD33,WM53,AHS0044,97 ab,BD Biosciences,940031,AB_2875922
CD335,NCR1,9E2/NKp46,AHS0068,97 ab,BD Biosciences,940064,AB_2875955
CD336,NCR2,p44-8,AHS0090,97 ab,BD Biosciences,940085,AB_2875976
CD34,CD34,581,AHS0061,97 ab,BD Biosciences,940021,AB_2875912
CD357,TNFRSF18,V27-580,AHS0104,97 ab,BD Biosciences,940096,AB_2875987
CD38,CD38,HIT2,AHS0022,97 ab,BD Biosciences,940013,AB_2875904
CD39,ENTPD1,TU66,AHS0006,97 ab,BD Biosciences,940073,AB_2875964
CD4,CD4,SK3,AHS0032,97 ab,BD Biosciences,940001,AB_2875892
CD40,CD40,5C3,AHS0117,97 ab,BD Biosciences,940049,AB_2875940
CD45,PTPRC,HI30,AHS0040,97 ab,BD Biosciences,940002,AB_2875893
CD45RA,PTPRC,HI100,AHS0009,97 ab,BD Biosciences,940011,AB_2875902
CD49a,ITGA1,SR84,AHS0101,97 ab,BD Biosciences,940094,AB_2875985
CD49b,ITGA2,12F1,AHS0093,97 ab,BD Biosciences,940087,AB_2875978
CD49d,ITGA4,9F10,AHS0063,97 ab,BD Biosciences,940059,AB_2875950
CD49E,ITGA5,IIA1,AHS0118,97 ab,BD Biosciences,940106,AB_2875996
CD5,CD5,UCHT2,AHS0047,97 ab,BD Biosciences,940038,AB_2875929
CD54,ICAM1,HA58,AHS0076,97 ab,BD Biosciences,940072,AB_2875963
CD56,NCAM1,NCAM16.2,AHS0019,97 ab,BD Biosciences,940007,AB_2875898
CD61,ITGB3,VI-PL2,AHS0069,97 ab,BD Biosciences,940065,AB_2875956
CD62L,SELL,DREG-56,AHS0049,97 ab,BD Biosciences,940041,AB_2875932
CD69,CD69,FN50,AHS0010,97 ab,BD Biosciences,940019,AB_2875910
CD7,CD7,M-T701,AHS0043,97 ab,BD Biosciences,940029,AB_2875920
CD8,CD8A,RPA-T8,AHS0027,97 ab,BD Biosciences,940003,AB_2875894
CD80,CD80,L307.4,AHS0046,97 ab,BD Biosciences,940036,AB_2875927
CD81,CD81,JS-81,AHS0021,97 ab,BD Biosciences,940052,AB_2875943
CD83,CD83,HB15e,AHS0084,97 ab,BD Biosciences,940054,AB_2875945
CD9,CD9,M-L13,AHS0082,97 ab,BD Biosciences,940078,AB_2875969
CD90,THY1,5E10,AHS0045,97 ab,BD Biosciences,940032,AB_2875923
CD94,KLRD1,HP-3D9,AHS0085,97 ab,BD Biosciences,940081,AB_2875972
CD95,FAS,DX2,AHS0023,97 ab,BD Biosciences,940037,AB_2875928
CD98,SLC3A2,UM7F8,AHS0100,97 ab,BD Biosciences,940093,AB_2875984
HLA-ABC,HLA-A_B_C,G46-2.6,AHS0066,97 ab,BD Biosciences,940062,AB_2875953
IgD,IGHD,IA6-2,AHS0058,97 ab,BD Biosciences,940026,AB_2875917
IgG,IGHG1_2_3_4,G18-145,AHS0059,97 ab,BD Biosciences,940027,AB_2875918
IL-21R,IL21R,17A12,AHS0107,97 ab,BD Biosciences,940099,AB_2875990
TCRab,TRA_TRB,IP26,AHS0078,97 ab,BD Biosciences,940074,AB_2875965
TCRgd,TRD_TRG,B1,AHS0015,97 ab,BD Biosciences,940057,AB_2875948
Tim3,HAVCR2,7D3,AHS0016,97 ab,BD Biosciences,940066,AB_2875957
